method,config,seed,fold,best_epoch,val_cindex,val_cindex_ipcw,val_IBS,val_iauc,last5_val_cindex,train_cindex_last,split_protocol,notes
dct_fix,configs/fix/distributional_counterfactual_transport_fix_blca.yaml,14623,0,3,0.7321711568938193,0.5631364172531749,0.370342451229993,0.8444647520778079,0.601743264659271,N/A,B global qcut fixed,
dct_fix,configs/fix/distributional_counterfactual_transport_fix_blca.yaml,14623,1,16,0.799492385786802,0.7568099211742456,0.16991344045749954,0.298728967590653,0.6021996615905245,N/A,B global qcut fixed,
dct_fix,configs/fix/distributional_counterfactual_transport_fix_blca.yaml,14623,2,28,0.6613290632506005,0.7388574939675474,0.24016830125071198,0.6315356906082171,0.5542033626901521,N/A,B global qcut fixed,
dct_fix,configs/fix/distributional_counterfactual_transport_fix_blca.yaml,14623,3,7,0.6786885245901639,0.5921112686519322,0.15786689592734818,0.35001154184061717,0.5967213114754099,N/A,B global qcut fixed,
dct_fix,configs/fix/distributional_counterfactual_transport_fix_blca.yaml,14623,4,5,0.7366548042704626,0.6765913947840552,0.15331649189328708,0.49596020728458,0.6051601423487545,N/A,B global qcut fixed,
catet_fix,configs/fix/censoring_aware_temporal_evidence_transport_fix_blca.yaml,27785,0,3,0.7591125198098256,0.5758926733909522,0.42704879000537443,0.5373631313135107,0.5876386687797147,N/A,B global qcut fixed,
catet_fix,configs/fix/censoring_aware_temporal_evidence_transport_fix_blca.yaml,27785,1,1,0.6878172588832487,0.6740287693289554,0.1683265745825107,0.5616917282859698,0.560575296108291,N/A,B global qcut fixed,
catet_fix,configs/fix/censoring_aware_temporal_evidence_transport_fix_blca.yaml,27785,2,2,0.5540432345876701,0.6041132210070292,0.2593681360744531,0.5903555107458573,0.5168935148118494,N/A,B global qcut fixed,
catet_fix,configs/fix/censoring_aware_temporal_evidence_transport_fix_blca.yaml,27785,3,1,0.6021857923497268,0.524445255656115,0.16749240375623137,0.4190238924893596,0.5123497267759562,N/A,B global qcut fixed,
catet_fix,configs/fix/censoring_aware_temporal_evidence_transport_fix_blca.yaml,27785,4,3,0.6637010676156584,0.6068540471588074,0.14180909681441992,0.7537578627214548,0.5594306049822064,N/A,B global qcut fixed,
faithful_fix,configs/fix/faithful_evidence_transport_fix_blca.yaml,23541,0,4,0.7472266244057052,0.453169344687645,0.4888190859199206,0.5049144163338639,0.610459587955626,N/A,B global qcut fixed,
faithful_fix,configs/fix/faithful_evidence_transport_fix_blca.yaml,23541,1,3,0.7208121827411168,0.6922470368681841,0.15527145842872275,0.5673745696533892,0.6817258883248731,N/A,B global qcut fixed,
faithful_fix,configs/fix/faithful_evidence_transport_fix_blca.yaml,23541,2,0,0.5596477181745396,0.6492511273523621,0.31543513693474157,0.6842564611356342,0.5262209767814252,N/A,B global qcut fixed,
faithful_fix,configs/fix/faithful_evidence_transport_fix_blca.yaml,23541,3,1,0.6,0.5302694768021282,0.17226113485167435,0.5848732170533208,0.5556284153005464,N/A,B global qcut fixed,
faithful_fix,configs/fix/faithful_evidence_transport_fix_blca.yaml,23541,4,5,0.6316725978647687,0.5998749647846645,0.1607631819393292,0.8386493572489815,0.5717971530249111,N/A,B global qcut fixed,
rg_et_fix,configs/fix/rank_guided_event_transport_fix_blca.yaml,19552,0,7,0.5832012678288431,0.3719586304331749,0.3855181711507274,0.8164667835539988,0.5180665610142631,N/A,B global qcut fixed,
rg_et_fix,configs/fix/rank_guided_event_transport_fix_blca.yaml,19552,1,14,0.7495769881556683,0.7020374328435288,0.16857081661406795,0.561032820128826,0.701522842639594,N/A,B global qcut fixed,
rg_et_fix,configs/fix/rank_guided_event_transport_fix_blca.yaml,19552,2,6,0.5788630904723779,0.6142738439978982,0.2742922577895423,0.6114237162053021,0.5021617293835068,N/A,B global qcut fixed,
rg_et_fix,configs/fix/rank_guided_event_transport_fix_blca.yaml,19552,3,0,0.6278688524590164,0.5712056984618299,0.17635518431865665,0.8432780425649298,0.5812021857923497,N/A,B global qcut fixed,
rg_et_fix,configs/fix/rank_guided_event_transport_fix_blca.yaml,19552,4,15,0.708185053380783,0.6423999502741886,0.1512370717195805,0.5986716626052953,0.6585409252669039,N/A,B global qcut fixed,
v50_norank,configs/fix/v50_norank_blca.yaml,22646,0,5,0.722662440570523,0.44485516635834094,0.40278278196748496,0.5979346800054324,0.6733755942947702,N/A,B global qcut fixed,
v50_norank,configs/fix/v50_norank_blca.yaml,22646,1,7,0.7390016920473773,0.7011879574226032,0.16026197275890283,0.4553036940893477,0.6674280879864636,N/A,B global qcut fixed,
v50_norank,configs/fix/v50_norank_blca.yaml,22646,2,11,0.6829463570856685,0.7472711911506777,0.2670954947331911,0.7307934678379333,0.6477982385908727,N/A,B global qcut fixed,
v50_norank,configs/fix/v50_norank_blca.yaml,22646,3,12,0.6885245901639344,0.6076635974143847,0.1632349670702212,0.36072940622714944,0.6480874316939891,N/A,B global qcut fixed,
v50_norank,configs/fix/v50_norank_blca.yaml,22646,4,0,0.7411032028469751,0.7100090419497991,0.1442535908848145,0.815040588482846,0.6491992882562277,N/A,B global qcut fixed,
v45_norank,configs/fix/v45_norank_blca.yaml,6792,0,2,0.7361331220285261,0.48524619531523755,0.4011715856297002,0.7137953222240077,0.6535657686212362,N/A,B global qcut fixed,
v45_norank,configs/fix/v45_norank_blca.yaml,6792,1,0,0.7093908629441624,0.6810724508706787,0.1740971942103725,0.6600155006246291,0.6642978003384095,N/A,B global qcut fixed,
v45_norank,configs/fix/v45_norank_blca.yaml,6792,2,14,0.6765412329863891,0.7308220178302094,0.2794377348217738,0.9199677390073513,0.6636509207365893,N/A,B global qcut fixed,
v45_norank,configs/fix/v45_norank_blca.yaml,6792,3,8,0.6273224043715847,0.6172631908426304,0.16063505318336696,0.25202687189333944,0.6020765027322404,N/A,B global qcut fixed,
v45_norank,configs/fix/v45_norank_blca.yaml,6792,4,6,0.6743772241992882,0.6241964630784284,0.16474907853323223,0.7529757631924133,0.6194839857651246,N/A,B global qcut fixed,
v45v2_norank,configs/fix/v45v2_norank_blca.yaml,323,0,2,0.7432646592709984,0.4691546377212185,0.35497511853517627,0.48600348008471583,0.5958795562599049,N/A,B global qcut fixed,
v45v2_norank,configs/fix/v45v2_norank_blca.yaml,323,1,5,0.7436548223350253,0.7350371134515256,0.15811995114216051,0.49640631798235596,0.6350253807106598,N/A,B global qcut fixed,
v45v2_norank,configs/fix/v45v2_norank_blca.yaml,323,2,12,0.666533226581265,0.7358370810466681,0.28071873065871233,0.7051606840110369,0.643955164131305,N/A,B global qcut fixed,
v45v2_norank,configs/fix/v45v2_norank_blca.yaml,323,3,17,0.692896174863388,0.6163102280339947,0.15917219117020123,0.47225264431102987,0.6744262295081966,N/A,B global qcut fixed,
v45v2_norank,configs/fix/v45v2_norank_blca.yaml,323,4,6,0.6850533807829181,0.6392897043559692,0.15081028276767403,0.8792204047464132,0.6475978647686833,N/A,B global qcut fixed,
V60,configs/v60_ot_event_rank_blca.yaml,3,0,14,0.7123613312202852,0.43011520383483226,0.8579103211205353,0.6657402131880371,0.6687797147385103,N/A,B global qcut fixed,
V60,configs/v60_ot_event_rank_blca.yaml,3,1,3,0.7554991539763113,0.7287511751899718,0.2545926103048344,0.6929416785541941,0.5816412859560067,N/A,B global qcut fixed,
V60,configs/v60_ot_event_rank_blca.yaml,3,2,4,0.6204963971176941,0.69813229123049,0.526838795620009,0.7272465743229026,0.5945556445156125,N/A,B global qcut fixed,
V60,configs/v60_ot_event_rank_blca.yaml,3,3,11,0.6524590163934426,0.6199424968603346,0.24742195540375456,0.26088102220361514,0.5895081967213115,N/A,B global qcut fixed,
V60,configs/v60_ot_event_rank_blca.yaml,3,4,22,0.6543594306049823,0.6207213650043176,0.2101312680575041,0.7646209141912169,0.5968861209964413,N/A,B global qcut fixed,
V51 seed3,configs/v51_slimbridge.yaml,3,0,5,0.7432646592709984,0.4757571665998137,1.108929819276024,0.757531759775489,0.7118066561014263,N/A,B global qcut fixed,
V51 seed3,configs/v51_slimbridge.yaml,3,1,4,0.7191201353637902,0.6576091538940011,0.32439060527705443,0.5483935813154168,0.6552453468697124,N/A,B global qcut fixed,
V51 seed3,configs/v51_slimbridge.yaml,3,2,16,0.5820656525220176,0.6456730072280763,0.7198058102520196,0.5683105368757888,0.5560448358686949,N/A,B global qcut fixed,
V51 seed3,configs/v51_slimbridge.yaml,3,3,11,0.6650273224043716,0.6344517239119603,0.38686718021653094,0.5667920723759322,0.6157377049180328,N/A,B global qcut fixed,
V51 seed3,configs/v51_slimbridge.yaml,3,4,11,0.6837188612099644,0.6335596596707751,0.28395022082948423,0.6244851958835821,0.5645017793594306,N/A,B global qcut fixed,
V51 seed5,configs/v51_slimbridge.yaml,5,0,3,0.7385103011093502,0.5856494374563549,1.09693030737686,0.549852540694559,0.659904912836767,N/A,B global qcut fixed,
V51 seed5,configs/v51_slimbridge.yaml,5,1,4,0.7013536379018612,0.654472253673564,0.2644550455502887,0.44777537627338515,0.6373942470389171,N/A,B global qcut fixed,
V51 seed5,configs/v51_slimbridge.yaml,5,2,15,0.5688550840672538,0.6145492406490772,0.7317676198330636,0.554957521340055,0.5388310648518815,N/A,B global qcut fixed,
V51 seed5,configs/v51_slimbridge.yaml,5,3,5,0.6459016393442623,0.5250185084980671,0.37581360485332777,0.5365041856246148,0.5769398907103825,N/A,B global qcut fixed,
V51 seed5,configs/v51_slimbridge.yaml,5,4,6,0.6365658362989324,0.6119765259059339,0.25463304913722073,0.8943026136633608,0.631049822064057,N/A,B global qcut fixed,
stagewise_prognostic_transport,configs/stagewise_prognostic_transport_blca.yaml,3,2,13,0.6741393114491593,0.6930576225346851,0.2383217382343379,0.7277412199151311,0.6349079263410728,N/A,A* old fold-aware qcut,"partial_folds_present=fold2_missing=0,1,3,4"
